Id	x_pos	y_pos	z_pos
103	-30.74	-21.5	17.31
104	-22.07	-30.28	17.22
105	-7.94	-38.9	17.39
106	3.49	-35.41	23.98
107	10.26	-34.36	24.01
108	17.18	-31.61	23.92
109	24.1	-26.43	24
110	30.97	-17.07	20.56
111	33.78	-10.24	20.58
112	34.96	-3.42	20.54
113	35.03	3.46	20.5
114	33.86	10.2	20.55
115	30.97	17.11	20.58
116	23.9	25.99	20.63
117	17.08	31.01	20.54
118	10.39	34.29	24.1
119	3.34	35.48	23.86
120	-3.5	35.56	23.84
121	-10.22	34.39	23.85
122	-17.02	31.06	20.52
123	-23.89	25.91	20.59
124	-30.98	17.06	20.59
125	-33.78	10.18	20.58
126	-35.02	3.44	20.51
127	-35.02	-3.46	20.48
128	-33.79	-10.25	20.55
129	-31.02	-17.04	20.57
130	-23.89	-25.94	20.58
131	-17.05	-30.99	20.55
132	-10.46	-34.31	23.96
133	-3.31	-35.56	23.8
134	3.44	-31.22	31.46
135	10.25	-29.44	31.69
136	17.09	-25.94	31.45
137	25.2	-24.08	31.46
138	25.31	-17.08	31.8
139	29.07	-10.23	31.67
140	31.25	-3.34	31.48
141	31.19	3.46	31.57
142	29.64	10.37	31.41
143	26.2	16.98	31.44
144	26.11	23.99	31.5
145	17.12	25.61	31.56
146	10.37	29.61	31.62
147	3.44	31.24	31.41
148	-3.51	31.21	31.58
149	-10.39	29.37	31.55
150	-17.18	26.2	31.44
151	-26.56	24.04	31.68
152	-26.19	17.14	31.62
153	-29.63	10.31	31.47
154	-31	3.42	31.47
155	-31.01	-3.36	31.41
156	-29.44	-10.18	31.48
157	-26.06	-17.18	31.56
158	-26.19	-24.05	31.56
159	-17.09	-26.1	31.52
160	-10.32	-29.34	31.44
161	-3.42	-31.26	31.45
162	18.97	-25.97	42.05
163	25.84	-18.66	42.01
164	25.75	19.01	41.87
165	19.19	25.9	41.98
166	-19.02	25.63	42.19
167	-25.81	19.25	42.01
168	-25.91	-18.98	41.85
169	-19.13	-26.06	41.92
170	4.55	-27.04	42.01
171	12.18	-26.02	41.71
172	19.17	-19.23	41.05
173	26.08	-12.17	40.99
174	27.16	-4.26	42.18
175	27.04	4.53	42.39
176	26.08	12.23	41.65
177	18.97	18.95	41.07
178	12.29	26.1	41.51
179	4.34	26.96	42.07
180	-4.38	27.14	42.4
181	-12.2	25.95	41.24
182	-18.97	19.09	41.18
183	-25.94	12.1	41.29
184	-27.16	4.31	42.27
185	-27.12	-4.37	42.3
186	-25.95	-12.32	41.38
187	-19.01	-19.2	41.12
188	-12.17	-26.05	41.64
189	-4.37	-27.03	42.44
190	4.39	-21.92	41.97
191	12.11	-18.91	41.26
192	18.99	-12.17	41.33
193	21.83	-4.45	42.16
194	21.83	4.47	41.78
195	19.05	12.14	41.21
196	12.2	18.96	41.26
197	4.34	21.76	41.91
198	-4.33	21.82	42
199	-12.22	18.97	41.07
200	-19.16	12.09	41.18
201	-21.84	4.42	42.1
202	-21.9	-4.32	42.18
203	-19.02	-12.18	41.28
204	-12.22	-18.96	40.86
205	-4.27	-21.84	42.2
206	4.35	-16.47	41.66
207	12.08	-12.17	41.22
208	16.64	-4.36	42
209	16.47	4.42	42.03
210	12.09	12.14	41.1
211	4.29	16.5	41.9
212	-4.43	16.6	42.03
213	-12.01	12.17	41.07
214	-16.62	4.27	41.68
215	-16.51	-4.32	41.73
216	-12.05	-12.04	41.14
217	-4.28	-16.53	41.83
218	4.42	-11.24	42.2
219	11.15	-4.35	42.26
220	11.17	4.39	42.39
221	4.44	11.21	42.31
222	-4.38	11.13	42.26
223	-11.17	4.46	42.01
224	-11.16	-4.37	42.26
225	-4.35	-11.24	41.85
226	0	0	0
227	0	0	0
228	0	0	0
300	-18.66	29.86	23.17
301	-16.11	29.6	23.18
302	-18.79	29.14	25.71
303	-16.13	29	25.94
304	-22.99	24.67	23.39
305	-25.6	24.41	23.17
306	-22.97	24.25	25.99
307	-25.75	24.16	26.07
308	-29.7	16	23.12
309	-29.4	16.02	26.35
310	-29.37	19.07	23
311	-29.21	19.13	26.08
312	-32.84	9.65	23.18
313	-32.37	9.7	25.86
314	-32.87	12.36	23.22
315	-32.06	12.2	25.89
316	-32.82	-12.73	23.1
317	-32.01	-12.4	25.85
318	-32.51	-10	23.22
319	-32.27	-10.06	25.85
320	-29.69	-18.92	23.21
321	-28.59	-18.83	25.86
322	-29.78	-16.31	23.38
323	-29.57	-16.19	25.89
324	-23.02	-24.32	25.93
325	-25.79	-23.77	25.86
326	-22.88	-24.46	23.38
327	-25.71	-24.42	23.29
328	-16.09	-29.92	25.86
329	-18.78	-28.95	25.91
330	-16.13	-29.73	23.32
331	-18.86	-29.51	23.14
332	-34.1	2.53	23.21
333	-33.61	2.67	25.84
334	-33.76	5.23	23.29
335	-33.87	5.2	25.87
336	-34.08	-5.69	23.33
337	-32.81	-5.69	25.86
338	-34.41	-3.2	23.21
339	-33.17	-3.14	25.88
350	15.04	28.35	23.35
351	15.06	27.69	26.04
352	17.65	27.5	26
353	17.84	27.97	23.26
354	32.6	-4.26	23.47
355	32.34	-6.89	23.52
356	31.79	-6.8	26.24
357	31.91	-4.25	26.2
358	27.47	-9.59	26.09
359	28	-9.67	23.33
360	28.24	-12.29	23.25
361	27.2	-12.28	25.9
362	25.17	-18.07	23.34
363	25.11	-18.01	25.84
364	24.65	-15.41	25.86
365	25.57	-15.45	23.29
400	22.73	25.34	26.27
401	25.8	24.92	26.03
402	22.68	25.47	23.01
403	25.74	25.3	23.04
404	30.17	18.53	22.5
405	29.97	18.56	25.35
406	30	15.37	22.53
407	29.99	15.57	25.64
408	32.98	11.77	22.46
409	32.75	11.64	25.44
410	32.78	8.72	22.42
411	32.54	8.71	25.66
412	34.2	5.14	22.4
413	34.12	4.98	25.65
414	34.47	1.89	22.46
415	33.58	1.82	25.51
